Country,Clicks,Impressions,CTR,Position
Moldova,27,3833,0.7%,29.6
Romania,2,54,3.7%,27.17
Pakistan,1,2,50%,53
Bulgaria,1,1,100%,87
United States,0,137,0%,12.56
Germany,0,15,0%,23.27
United Kingdom,0,13,0%,22.69
Canada,0,11,0%,13.82
Brazil,0,9,0%,14.44
Ukraine,0,9,0%,51.89
Poland,0,7,0%,10.57
Italy,0,6,0%,21
Singapore,0,5,0%,5.8
India,0,5,0%,16.2
Spain,0,5,0%,17.2
Russia,0,5,0%,26.8
Belarus,0,4,0%,7.25
Mexico,0,4,0%,25.25
Japan,0,4,0%,32.25
Argentina,0,3,0%,20.67
Switzerland,0,3,0%,20.67
Turkey,0,3,0%,21.33
Czechia,0,2,0%,1.5
Netherlands,0,2,0%,8
Morocco,0,2,0%,16.5
Ireland,0,2,0%,19.5
Vietnam,0,2,0%,20
China,0,2,0%,23
France,0,2,0%,32
Thailand,0,2,0%,33.5
South Korea,0,1,0%,1
Puerto Rico,0,1,0%,2
Syria,0,1,0%,2
Taiwan,0,1,0%,2
Algeria,0,1,0%,3
Kenya,0,1,0%,4
Malaysia,0,1,0%,5
Norway,0,1,0%,5
Paraguay,0,1,0%,5
Saudi Arabia,0,1,0%,6
Belgium,0,1,0%,9
Greece,0,1,0%,9
Slovakia,0,1,0%,9
Austria,0,1,0%,10
Dominican Republic,0,1,0%,10
Hong Kong,0,1,0%,10
Lithuania,0,1,0%,10
Sweden,0,1,0%,12
Iran,0,1,0%,15
Venezuela,0,1,0%,17
Sri Lanka,0,1,0%,27
Philippines,0,1,0%,28
Peru,0,1,0%,30
Estonia,0,1,0%,36
United Arab Emirates,0,1,0%,45
Finland,0,1,0%,51
